level,idiom,meaning,sentence,option1,option2,option3,enabled
basic,畫蛇添足,比喻多做了不必要的事，反而弄巧成拙。,,,,,是
basic,守株待兔,比喻不主動努力，只想等待意外收穫。,,,,,是
basic,井底之蛙,比喻見識狹窄的人。,,,,,是
basic,一心一意,心意專一，沒有其他念頭。,,,,,是
basic,半途而廢,事情沒有完成就停止。,,,,,是
basic,雪中送炭,在別人急需時給予幫助。,,,,,是
basic,胸有成竹,做事前已經有完整的計畫和把握。,,,,,是
basic,異想天開,想法非常奇特，超出一般情況。,,,,,是
basic,亡羊補牢,出了問題後趕快補救，還不算太晚。,,,,,是
basic,專心致志,一心一意，集中精神。,,,,,是
basic,熟能生巧,事情做熟練後，就能掌握技巧。,,,,,是
basic,按部就班,依照一定的步驟做事。,,,,,是
advanced,畫蛇添足,比喻多做了不必要的事，反而弄巧成拙。,作品已經完成，再加裝飾反而是____。,畫蛇添足,雪中送炭,守株待兔,是
advanced,守株待兔,比喻不主動努力，只想等待意外收穫。,學習要主動努力，不能每天____。,守株待兔,胸有成竹,一心一意,是
advanced,井底之蛙,比喻見識狹窄的人。,多閱讀、多旅行，才不會成為____。,井底之蛙,亡羊補牢,熟能生巧,是
advanced,半途而廢,事情沒有完成就停止。,遇到困難也要堅持，不可以____。,半途而廢,按部就班,異想天開,是
advanced,雪中送炭,在別人急需時給予幫助。,朋友最需要幫忙時，他伸出援手，真是____。,雪中送炭,畫蛇添足,守株待兔,是
advanced,胸有成竹,做事前已經有完整的計畫和把握。,她準備充分，上台報告時顯得____。,胸有成竹,井底之蛙,半途而廢,是
advanced,亡羊補牢,出了問題後趕快補救，還不算太晚。,發現錯誤後立刻改正，正是____。,亡羊補牢,一心一意,異想天開,是
advanced,熟能生巧,事情做熟練後，就能掌握技巧。,每天練習直笛，果然____，越吹越好。,熟能生巧,雪中送炭,畫蛇添足,是
advanced,按部就班,依照一定的步驟做事。,做實驗時要____，不能跳過步驟。,按部就班,守株待兔,井底之蛙,是
advanced,專心致志,一心一意，集中精神。,他____地閱讀，完全沒注意到下課鐘聲。,專心致志,半途而廢,異想天開,是
