id,idiom,zhuyin,meaning,story,usage,image,tags,grade,enabled
001,千篇一律,ㄑㄧㄢ ㄆㄧㄢ ㄧ ㄌㄩˋ,比喻文章、題材或作法公式化，單調、重複，缺乏變化。,漫畫中學生寫作文時，內容一直重複冒險家尋寶的套路，老師指出每次都寫得一模一樣，正好說明「千篇一律」。,如果每篇心得都只寫「很好看、很感人」，內容就會千篇一律。,assets/qian-pian-yi-lu.png,寫作表達;創意;作文,高年級,yes
002,哄抬物價,ㄏㄨㄥ ㄊㄞˊ ㄨˋ ㄐㄧㄚˋ,指利用物資短缺或大家急需的時機，故意大幅提高價格，以獲取不正當利益。,漫畫中天氣炎熱，礦泉水原本十元，攤販卻趁大家口渴把價格提高到五十元，最後被指出這是不合理的哄抬物價。,災害發生後，商家不可以趁機哄抬物價，應該維持公平交易。,assets/hong-tai-wu-jia.png,社會生活;公平交易;品德,高年級,yes
003,誤入歧途,ㄨˋ ㄖㄨˋ ㄑㄧˊ ㄊㄨˊ,比喻走上不正當或錯誤的道路，做出嚴重錯誤的選擇。,漫畫中阿明原本要準備考試，卻受到同學邀約去網咖玩遊戲，最後耽誤考試並感到後悔，呈現「誤入歧途」的意思。,如果交友不慎、逃避學習，就可能誤入歧途。,assets/wu-ru-qi-tu.png,品德教育;選擇;自我管理,高年級,yes
004,一念之誤,ㄧ ㄋㄧㄢˋ ㄓ ㄨˋ,一時念頭錯誤，造成不好的結果。,漫畫中學生在考試時因一個想作弊的念頭而抄答案，最後被發現並受到懲罰，說明一念之誤可能帶來嚴重後果。,他因為一念之誤說了謊，後來花了很久才重新取得大家信任。,assets/yi-nian-zhi-wu.png,品德教育;誠實;考試,高年級,yes
005,深謀遠略,ㄕㄣ ㄇㄡˊ ㄩㄢˇ ㄌㄩㄝˋ,計畫長遠，考慮周到，有遠大的眼光。,漫畫中軍師不只看眼前的快速路線，而是考慮水源、補給和人民支持，最後獲得長遠勝利，展現深謀遠略。,校隊練習不能只求今天贏球，也要安排體能和戰術，才算深謀遠略。,assets/shen-mou-yuan-lue.png,策略思考;歷史情境;規劃,高年級,yes
006,刪繁就簡,ㄕㄢ ㄈㄢˊ ㄐㄧㄡˋ ㄐㄧㄢˇ,去掉繁雜多餘的部分，使內容變得簡明清楚。,漫畫中學生作文寫得又長又重複，同學提醒他保留重點、刪掉繁雜內容，修改後文章變得清楚，就是刪繁就簡。,做簡報時要刪繁就簡，留下重點，聽眾才容易理解。,assets/shan-fan-jiu-jian.png,寫作表達;修辭;整理重點,高年級,yes
007,價值連城,ㄐㄧㄚˋ ㄓˊ ㄌㄧㄢˊ ㄔㄥˊ,形容物品極為珍貴，價值高到無法用金錢衡量。,漫畫中博物館的古代玉珮被說明珍貴到可換取城池，表示它非常稀有珍貴，這就是價值連城。,這件古文物保存完整、十分稀有，可以說是價值連城。,assets/jia-zhi-lian-cheng.png,歷史文化;珍貴;博物館,高年級,yes
008,劍拔弩張,ㄐㄧㄢˋ ㄅㄚˊ ㄋㄨˇ ㄓㄤ,形容形勢非常緊張，衝突一觸即發。,漫畫中兩位學生為最後一隻雞腿爭吵，氣氛緊繃到像戰場上拔劍張弩一樣，正是劍拔弩張。,比賽前兩隊互不相讓，現場氣氛劍拔弩張。,assets/jian-ba-nu-zhang.png,人際互動;衝突;情緒,高年級,yes
009,畫蛇添足,ㄏㄨㄚˋ ㄕㄜˊ ㄊㄧㄢ ㄗㄨˊ,比喻多此一舉，不但沒有好處，反而壞了事情。,漫畫中學生已經把蛇畫好，卻又加上腳，老師提醒蛇本來沒有腳，這個多加的動作反而讓作品變奇怪。,文章已經很完整了，再加一段不相關的說明，反而畫蛇添足。,assets/hua-she-tian-zu.png,做事方法;判斷;創作,高年級,yes
010,一派胡言,ㄧ ㄆㄞˋ ㄏㄨˊ ㄧㄢˊ,指完全沒有根據、亂說的話。,漫畫中學生誇張地說自己用一根手指抓到大蟑螂，後來被指出事實並非如此，這種沒有根據的說法就是一派胡言。,沒有查證就亂傳消息，可能只是，一派胡言。,assets/yi-pai-hu-yan.png,說話表達;查證;品德,高年級,yes
011,恍然大悟,ㄏㄨㄤˇ ㄖㄢˊ ㄉㄚˋ ㄨˋ,一下子完全明白過來。,漫畫中學生原本算錯種樹問題，經同學提醒要把兩端都算進去後，突然理解了題目的陷阱，這就是恍然大悟。,聽完老師的說明後，我才恍然大悟，原來題目要先找規律。,assets/huang-ran-da-wu.png,學習方法;數學情境;理解,高年級,yes
012,口無遮攔,ㄎㄡˇ ㄨˊ ㄓㄜ ㄌㄢˊ,形容說話任意妄為，沒有節制或顧忌，常傷害別人。,漫畫中學生隨便批評同學的畫和外表，完全沒顧慮對方感受，因此被提醒這是口無遮攔。,開玩笑也要有分寸，不能口無遮攔地傷害別人。,assets/kou-wu-zhe-lan.png,人際互動;說話禮貌;情緒,高年級,yes
013,同病相憐,ㄊㄨㄥˊ ㄅㄧㄥˋ ㄒㄧㄤ ㄌㄧㄢˊ,比喻有同樣不幸遭遇或困難的人，彼此同情、互相關心。,漫畫中阿明生病不能出去玩，小雅腳受傷也不能去玩，兩人因為都有相似的難過處境而互相鼓勵。,兩位同學都因受傷不能參加比賽，只好同病相憐、互相打氣。,assets/tong-bing-xiang-lian.png,同理心;人際互動;關懷,高年級,yes
014,耳熟能詳,ㄦˇ ㄕㄨˊ ㄋㄥˊ ㄒㄧㄤˊ,聽得多了，耳朵都熟悉了，能詳盡地說出來。,漫畫中學生一直聽到廣告歌曲，後來在考試時反而能把「耳熟能詳」解釋清楚，表示聽多了就非常熟悉。,這首校歌大家從一年級唱到現在，早已耳熟能詳。,assets/er-shu-neng-xiang.png,聽覺記憶;學習方法;生活語文,高年級,yes
015,插翅難飛,ㄔㄚ ㄔˋ ㄋㄢˊ ㄈㄟ,形容被困得非常嚴密，即使長了翅膀也飛不出去，比喻陷入難以逃脫的困境。,漫畫中上班族原本想像週末自由飛翔，卻被主管交辦大量工作，又被訊息與文件包圍，最後感嘆自己插翅也難飛。,期末報告和考試同時壓來，他忙得插翅難飛。,assets/cha-chi-nan-fei.png,生活情境;壓力;困境,高年級,yes
